path,size_bytes,sha256,device,inode,link_count,canonical_inode_path,sibling_best_exists,evidence,proposed_action,reason
artifacts/g7_leakage_fixed_v2/runs/seed_43/last.pt,957381192,0f5ee1834ab16be8a8e6816ec76ad0ac69401ecaf3c345a903ce47690871b716,66306,7877255,2,artifacts/g7_leakage_fixed_v2/runs/seed_43/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g7_leakage_fixed_v2/runs/seed_44/last.pt,957381704,adaaef4956e061170890b8a35b0df7582c47e183d6b8d9db87d1ff8dd94fe1c9,66306,7899323,2,artifacts/g7_leakage_fixed_v2/runs/seed_44/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g7_r2_generalization/ablations/pt_control/runs/seed_42/last.pt,957381256,c26be3a131a6a148bcfb62a6b2947454e344bc9e3d297018a4e5156bc0906ffc,66306,7899387,1,artifacts/g7_r2_generalization/ablations/pt_control/runs/seed_42/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g7_r2_generalization/ablations/pt_mic/runs/seed_42/last.pt,957382280,98452facf986b9ed412e12fba398582b31b38b0ae94247ef0f663a428d179ba8,66306,7871223,1,artifacts/g7_r2_generalization/ablations/pt_mic/runs/seed_42/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g7_r2_generalization/ablations/pt_mic_bg/runs/seed_42/last.pt,957381960,1e39b8a88901a199ce975f813f65154e31c6fc6643507b96d7d4f9112f821c75,66306,7871234,1,artifacts/g7_r2_generalization/ablations/pt_mic_bg/runs/seed_42/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g7_r2_generalization/ablations/pt_mic_bg_freq/runs/seed_42/last.pt,957382024,f5a4bb414d3f486d5ae77849d3703480a326927f107675112293cc8201de14b8,66306,7871235,1,artifacts/g7_r2_generalization/ablations/pt_mic_bg_freq/runs/seed_42/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g7_r2_generalization/ablations/pt_mic_bg_freq/runs/seed_43/last.pt,957381768,32a5fdc3122a7be42876e84deb79a965f9800bfd29bf4ddc953c563d5e5e2cc0,66306,7899770,1,artifacts/g7_r2_generalization/ablations/pt_mic_bg_freq/runs/seed_43/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g7_r2_generalization/ablations/pt_mic_bg_freq/runs/seed_44/last.pt,957382216,044ce71657779cc901bfb37026effd47d79257d9b155bb18a87d1abbad27209e,66306,7899806,1,artifacts/g7_r2_generalization/ablations/pt_mic_bg_freq/runs/seed_44/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g7_r4_cross_dataset/r4a_source_balanced_fc1/runs/seed_42/last.pt,353530349,6be94a09b5515c47ef8d4b6c0a787f8219f431c44589c4e7ab2135b685a65984,66306,7899814,1,artifacts/g7_r4_cross_dataset/r4a_source_balanced_fc1/runs/seed_42/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g7_r4_cross_dataset/r4b_lowsnr_curriculum/runs/seed_42/last.pt,353530541,8b9f6d4c6a8ff0727dea26ad3db16870c79a63d29651fb3dca6b2e3ce9224143,66306,7899933,1,artifacts/g7_r4_cross_dataset/r4b_lowsnr_curriculum/runs/seed_42/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g7_r4_cross_dataset/r4c_lowsnr_conservative/runs/seed_42/last.pt,353530349,3d6556543723f303ed3f8d379e54d4d85e4b3a2c5a8aa87cd8aae4be608cdc93,66306,7899963,1,artifacts/g7_r4_cross_dataset/r4c_lowsnr_conservative/runs/seed_42/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g7_r4_cross_dataset/r4c_lowsnr_conservative/runs/seed_43/last.pt,353530349,8a38d1f1b75b470a96ac3c7556eb555479ea31f9bdfc17c6ccc3fd04d2d07bff,66306,7899977,1,artifacts/g7_r4_cross_dataset/r4c_lowsnr_conservative/runs/seed_43/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g7_r4_cross_dataset/r4c_lowsnr_conservative/runs/seed_44/last.pt,353530413,dfaf626ae9206463e58c4e1e0dbb375dc80a55ea877c74fbb1e4ad3b1bc0b5d3,66306,7899984,1,artifacts/g7_r4_cross_dataset/r4c_lowsnr_conservative/runs/seed_44/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g7_r6_dronenoise_control/runs/seed_42/last.pt,957382792,9e84ec4559d826f40e17bcd8e88e1e7b834b742e8a328857b47abe90dcb2e5fe,66306,7899873,1,artifacts/g7_r6_dronenoise_control/runs/seed_42/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g7_r7_freq_mixstyle/runs/seed_42/last.pt,957382408,48cfba0b058af2f4b272cbf54d24d1267fbabc5da8152cd813198ef68791e91d,66306,7899560,1,artifacts/g7_r7_freq_mixstyle/runs/seed_42/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g7_r8_urban_negatives/runs/seed_42/last.pt,957382536,f95d393515153716a9e5b4ebbe1b23b7e4af9a8f9fdbe5e26c18b689879fcb2f,66306,7871262,1,artifacts/g7_r8_urban_negatives/runs/seed_42/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g7_strict_retrain_v1/runs/seed_42/last.pt,957382088,c4cbd6a44e811eee9227e142dd0fa1f50223d5df1867a81ea6e7668a9e51ee72,66306,7900405,1,artifacts/g7_strict_retrain_v1/runs/seed_42/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g7_strict_retrain_v1/runs/seed_43/last.pt,957381832,a12ea3a965f9bc2b64423be6d016fdf3a8de6271dbce0feb86afda4e610f072a,66306,7900403,1,artifacts/g7_strict_retrain_v1/runs/seed_43/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
artifacts/g7_strict_retrain_v1/runs/seed_44/last.pt,957382280,3eb81c52a260a8e189d93090897f97e7e73cfac1d788f59f85102e6f94b967b6,66306,7900556,1,artifacts/g7_strict_retrain_v1/runs/seed_44/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
data/g14_domain_generalization/_raw/kielce_17_uav/.pilot-download.lock,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,66306,7870472,1,data/g14_domain_generalization/_raw/kielce_17_uav/.pilot-download.lock,False,,DELETE_IF_STALE,"generated temporary, backup, lock, or incomplete file"
data/g14_domain_generalization/_raw/nasa_suas/.download.lock,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,66306,7870362,1,data/g14_domain_generalization/_raw/nasa_suas/.download.lock,False,,DELETE_IF_STALE,"generated temporary, backup, lock, or incomplete file"
data/g14_domain_generalization/_raw/tau_urban_2022/.audio-1-download.lock,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,66306,7870352,1,data/g14_domain_generalization/_raw/tau_urban_2022/.audio-1-download.lock,False,,DELETE_IF_STALE,"generated temporary, backup, lock, or incomplete file"
data/g14_domain_generalization/_raw/tau_urban_2022/.audio-9-download.lock,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,66306,7870339,1,data/g14_domain_generalization/_raw/tau_urban_2022/.audio-9-download.lock,False,,DELETE_IF_STALE,"generated temporary, backup, lock, or incomplete file"
data/g14_domain_generalization/_raw/tau_urban_2022/.metadata-download.lock,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,66306,7870356,1,data/g14_domain_generalization/_raw/tau_urban_2022/.metadata-download.lock,False,,DELETE_IF_STALE,"generated temporary, backup, lock, or incomplete file"
data/g14_domain_generalization/_raw/tau_urban_2022/.pilot-download.lock,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,66306,7870003,1,data/g14_domain_generalization/_raw/tau_urban_2022/.pilot-download.lock,False,,DELETE_IF_STALE,"generated temporary, backup, lock, or incomplete file"
data/g7_cross_domain/_raw/idmt_traffic/.download.lock,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,66306,7877371,1,data/g7_cross_domain/_raw/idmt_traffic/.download.lock,False,,DELETE_IF_STALE,"generated temporary, backup, lock, or incomplete file"
date/DADS/.cache/huggingface/download/data/g2I8J5gIRmiZYTwW6WsH6exjaoA=.2b550d54d9349bd3c8456b57dea7a980fdcb983127cbaf8d23176dc221fbfb05.36439189.incomplete,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,66306,6180499,1,date/DADS/.cache/huggingface/download/data/g2I8J5gIRmiZYTwW6WsH6exjaoA=.2b550d54d9349bd3c8456b57dea7a980fdcb983127cbaf8d23176dc221fbfb05.36439189.incomplete,False,,DELETE_IF_STALE,"generated temporary, backup, lock, or incomplete file"
logs/g15_p3b_seed42_preflight.log~,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,66306,6684820,1,logs/g15_p3b_seed42_preflight.log~,False,,DELETE_IF_STALE,"generated temporary, backup, lock, or incomplete file"
releases/g7_binary_best_strict_v1/artifacts/g14_domain_generalization/segment_cache/.build.lock,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,66306,7870624,2,artifacts/g14_domain_generalization/segment_cache/.build.lock,False,,DELETE_IF_STALE,"generated temporary, backup, lock, or incomplete file"
releases/g7_binary_best_strict_v1/artifacts/g7_leakage_fixed_v2/runs/seed_42/last.pt,957381576,1946cb47ae5d600322e1b3a39e894fe7173c18276c9050f038b3a6f5af2e8a9b,66306,7894660,2,artifacts/g7_leakage_fixed_v2/runs/seed_42/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
releases/g7_binary_best_strict_v1/artifacts/g7_leakage_fixed_v2/runs/seed_43/last.pt,957381192,0f5ee1834ab16be8a8e6816ec76ad0ac69401ecaf3c345a903ce47690871b716,66306,7877255,2,artifacts/g7_leakage_fixed_v2/runs/seed_43/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
releases/g7_binary_best_strict_v1/artifacts/g7_leakage_fixed_v2/runs/seed_44/last.pt,957381704,adaaef4956e061170890b8a35b0df7582c47e183d6b8d9db87d1ff8dd94fe1c9,66306,7899323,2,artifacts/g7_leakage_fixed_v2/runs/seed_44/last.pt,True,metrics.json;history.csv,DELETE_AFTER_CHECK,completed run has sibling best.pt; last.pt is resume-only
